"AI_CD","PROC_CD","SER","LOC","ITM","TAG_SN","DP","TAG_TY"
"C","C","0","0","CFC-2464","771-358-CFC-2464","금산광역(정) PAC주입기#1 현재주입률설정","0"
"C","C","0","0","CFC-2464","771-358-CFC-2464","금산광역(정) PAC주입기#1 현재주입률설정","4"
"D","D","0","0","CFC-2464","771-358-CFC-2464","금산광역(정) PAC주입기#1 현재주입률설정 (F_CV)","0"
"C","C","0","0","CFC-2473","771-358-CFC-2473","금산광역(정) PAC주입기#2 현재주입량설정","0"
"D","D","0","0","CFC-2473","771-358-CFC-2473","금산광역(정) PAC주입기#2 현재주입량설정 (F_CV)","0"
"C","C","0","0","CFC-2474","771-358-CFC-2474","금산광역(정) PAC주입기#2 현재주입률설정","0"
"C","C","0","0","CFC-2474","771-358-CFC-2474","금산광역(정) PAC주입기#2 현재주입률설정","4"
"D","D","0","0","CFC-2474","771-358-CFC-2474","금산광역(정) PAC주입기#2 현재주입률설정 (F_CV)","0"
"C","C","0","0","CFI-2211","771-358-CFI-2211","금산(정) 활성탄투입설비 투입량","0"
"C","C","0","0","CFI-2212","771-358-CFI-2212","금산(정) 활성탄투입설비 주입률","0"
"G","G","0","0","CFI-2212","771-358-CFI-2212","금산(정) 활성탄투입설비 주입률","0"
"D","D","0","0","CFI-2461","771-358-CFI-2461","금산광역(정) PAC 주입기#1 현재주입량 (F_CV)","0"
"D","D","0","0","CFI-2462","771-358-CFI-2462","금산광역(정) PAC 주입기#1 현재주입률 (F_CV)","0"
"D","D","0","0","CFI-2471","771-358-CFI-2471","금산광역(정) PAC 주입기#2 현재주입량 (F_CV)","0"
"D","D","0","0","CFI-2472","771-358-CFI-2472","금산광역(정) PAC 주입기#2 현재주입률 (F_CV)","0"
"C","C","0","0","CFI-2481","771-358-CFI-2481","금산(정) 약품동 PAC 주입기 통합유량","0"
"G","G","0","0","CIB-5112","771-358-CIB-5112","금산광역(정) 차염설비 전염주입펌프#1 RUN","0"
"G","G","0","0","CIB-5122","771-358-CIB-5122","금산광역(정) 차염설비 전염주입펌프#2 RUN","0"
"G","G","0","0","CIB-5212","771-358-CIB-5212","금산광역(정) 차염설비 후염주입펌프#1 RUN","0"
"G","G","0","0","CIB-5222","771-358-CIB-5222","금산광역(정) 차염설비 후염주입펌프#2 RUN","0"
"G","G","0","0","CIB-5312","771-358-CIB-5312","금산(정) 차염설비 트리밍주입펌프#1 R","0"
"G","G","0","0","CIB-5322","771-358-CIB-5322","금산(정) 차염설비 트리밍주입펌프#2 R","0"
"G","G","0","0","CIB-5501","771-358-CIB-5501","금산(정) 후염소 자동운전","0"
"G","G","0","0","CIC-5113","771-358-CIC-5113","금산광역(정) 차염설비 전염소 투입률 설정","0"
"G","G","0","0","CIC-5113","771-358-CIC-5113","금산광역(정) 차염설비 전염소 투입률 설정","4"
"G","G","0","0","CIC-5114","771-358-CIC-5114","금산광역(정) 차염설비 전염소 투입량 설정","0"
"G","G","0","0","CIC-5213","771-358-CIC-5213","금산광역(정) 차염설비 후염소 투입률 설정","0"
"G","G","0","0","CIC-5213","771-358-CIC-5213","금산광역(정) 차염설비 후염소 투입률 설정","4"
"G","G","0","0","CIC-5214","771-358-CIC-5214","금산광역(정) 차염설비 후염소 투입량 설정","0"
"G","G","0","0","CIC-5313","771-358-CIC-5313","금산광역(정) 차염설비 트리밍 투입률 설정","0"
"G","G","0","0","CIC-5314","771-358-CIC-5314","금산광역(정) 차염설비 트리밍 투입량 설정","0"
"G","G","0","0","CIC-5502","771-358-CIC-5502","금산광역(정) 후염소 목표 설정값","0"
"G","G","0","0","CIC-5504","771-358-CIC-5504","금산광역(정) 후염소 상한설정","0"
"G","G","0","0","CIC-5504","771-358-CIC-5504","금산광역(정) 후염소 상한설정","4"
"G","G","0","0","CIC-5505","771-358-CIC-5505","금산광역(정) 후염소 하한설정","0"
"G","G","0","0","CIC-5505","771-358-CIC-5505","금산광역(정) 후염소 하한설정","4"
"G","G","0","0","CII-5111","771-358-CII-5111","금산(정) 차염설비 전차염 투입량","0"
"G","G","0","0","CII-5113","771-358-CII-5113","금산(정) 차염설비 전염소 투입률","0"
"G","G","0","0","CII-5211","771-358-CII-5211","금산(정) 차염설비 후차염 투입량","0"
"G","G","0","0","CII-5213","771-358-CII-5213","금산(정) 차염설비 후차염 투입률","0"
"G","G","0","0","CII-5311","771-358-CII-5311","금산(정) 차염설비 트리밍 투입량","0"
"G","G","0","0","CII-5313","771-358-CII-5313","금산(정) 차염설비 트리밍 투입률","0"
"G","G","0","0","CII-5503","771-358-CII-5503","금산광역(정) 후염소 주입률 계산값","0"
"G","G","0","0","CLI-4011","771-358-CLI-4011","금산(정) 정수지 유입 잔류염소","0"
"G","G","0","0","CLI-4021","771-358-CLI-4021","금산(정) 정수지 유출 잔류염소","0"
"G","G","0","0","CLI-6001","771-358-CLI-6001","금산(정) 혼화수 잔류염소","0"
"C","C","0","0","c_cf_max","771-358-SWI-2902","주입률 상한","3"
"C","C","0","0","c_cf_min","771-358-SWI-2903","주입률 하한","3"
"C","C","0","0","c_operation_mode","771-358-SWI-2901","약품 운전모드","3"
"UI","C","0","0","c_operation_mode_a","771-358-SWI-2002","약품 AI 모드 경보","2"
"C","C","0","0","c_user_correct","771-358-SWI-2904","사용자 보정값","3"
"C","C","0","0","d1_mm_fr_pacs","771-358-CFI-2461","금산(정) 약품동 PAC 주입기#1 현재주입량","0"
"C","C","0","0","d2_mm_fr_pacs","771-358-CFI-2471","금산(정) 약품동 PAC 주입기#2 현재주입량","0"
"G","G","0","0","DEI-5001","771-358-DEI-5001","금산(정) 차염발생기 차염농도","0"
"UI","D","0","0","d_dv_loc1","771-358-SWI-3003","물의 점성계수 (1지)","2"
"UI","D","0","0","d_dv_loc2","771-358-SWI-3004","물의 점성계수 (2지)","2"
"D","D","0","0","d_fc_g1_1_1","771-358-FCI-2112","금산광역(정) 응집기 1지#1 G값 (F_CV)","0"
"D","D","0","0","d_fc_g1_2_1","771-358-FCI-2114","금산광역(정) 응집기 1지#2 G값 (F_CV)","0"
"D","D","0","0","d_fc_g2_1_1","771-358-FCI-2122","금산광역(정) 응집기 2지#1 G값 (F_CV)","0"
"D","D","0","0","d_fc_g2_2_1","771-358-FCI-2124","금산광역(정) 응집기 2지#2 G값 (F_CV)","0"
